protein,Nobs_epvs,model_epvs,beta_epvs,SE_epvs,P_epvs,beta_time_epvs,SE_time_epvs,P_time_epvs,beta_int_time_epvs,SE_int_time_epvs,P_int_time_epvs,P_epvs_fdr,P_time_epvs_fdr,P_time_epvs_int_fdr
OID30472,2776,lmer,-0.032397462438510556,0.026493202230267934,0.2216906883692387,-0.0312188166261595,0.015434803716314942,0.043250844529109704,-0.016557679910916757,0.016412382936797084,0.31317599389452405,0.9192210937719016,0.05311857922629734,0.5239916600765276
OID30473,2776,lmer,-0.015318113313907755,0.029603562989160274,0.6049734383606766,0.048486102953342665,0.015142344298214615,0.0013874339541754543,0.01706153778806052,0.016074944427896816,0.28865918614501407,0.9433181452287149,0.0018731960499098629,0.49614259160894475
OID30474,2776,lmer,0.05336947504465773,0.02249681201730417,0.01788395665195629,0.2486845725248253,0.01724662712259779,8.414213481822711e-45,0.05232415370795482,0.01839876194143012,0.004505430712038876,0.8748389167410707,2.525127926834475e-44,0.028079688638144213
OID30475,2776,lmer,-0.01042451443012537,0.02812626070736858,0.7109965258131278,-0.00362771165117916,0.01387288989677132,0.7937381929136931,-0.010574723899457962,0.014720551826562876,0.47262357240857034,0.9670887289493355,0.8160734216977577,0.6686430799025668
OID30476,2776,lmer,-0.0038053488988945613,0.024939175689409128,0.8787586530124807,0.02269638889989943,0.017962348686944976,0.20654474155456737,-0.026075014329507398,0.019148977434057315,0.17345942050264118,0.9937700677269244,0.23473183497822725,0.35532442857981744
OID30477,2776,lmer,-0.05516561411638222,0.028862275527048033,0.05626392076468393,0.019597121012552173,0.014996200752157239,0.19143569057064475,0.0033237506263518626,0.015922954039369438,0.8346743004726991,0.9192210937719016,0.21832482385407515,0.9175453103729595
OID30478,2549,lmer,-0.05431777862618088,0.0293201646454941,0.06428816971319161,0.13880376168458936,0.016273039108561906,3.267746886475176e-17,0.022410599464087477,0.01747188146535998,0.19979254298927623,0.9192210937719016,6.308866677124794e-17,0.3885057032811633
OID30479,2776,lmer,0.017111635912809633,0.024128542382025824,0.4783883974187938,0.14385976844340284,0.018092608338706895,3.135721592072525e-15,0.02470030019139121,0.019296572284955165,0.20069202159456778,0.9192210937719016,5.849211367982125e-15,0.3891991977472247
OID30480,2776,lmer,-0.023891720653967833,0.025400476976225893,0.34715609743729925,0.03920912575320101,0.01784990049090997,0.028169208848877032,0.01617232345132007,0.01902371727886619,0.39537132185164703,0.9192210937719016,0.03514238048026785,0.6040647770190535
OID30481,2776,lmer,-0.007043866091201979,0.025513607282650442,0.7825469762259442,0.08089229965232571,0.011036757015212291,3.419547082070522e-13,-0.012668641782502203,0.011692153506996351,0.2787217123134033,0.9854769261038971,6.083588631096857e-13,0.4858101163339761
OID30482,2776,lmer,0.02888305898289833,0.030493746977998972,0.343796020280821,-0.027385891681164728,0.013672369927253413,0.04531917052839127,-0.005619042252989216,0.014490587572669212,0.6982297096588628,0.9192210937719016,0.055449114882581696,0.8364448530052688
